targetId,comparatorId,outcomeId,outcomeName,type
119,120,380038,Viral conjunctivitis,outcome
119,120,4291005,Viral hepatitis,outcome
119,120,4115367,Wrist joint pain,outcome
119,120,440193,Wristdrop,outcome
212,215,380038,Viral conjunctivitis,outcome
212,215,4291005,Viral hepatitis,outcome
212,215,4115367,Wrist joint pain,outcome
212,215,440193,Wristdrop,outcome
214,215,380038,Viral conjunctivitis,outcome
214,215,4291005,Viral hepatitis,outcome
214,215,4115367,Wrist joint pain,outcome
214,215,440193,Wristdrop,outcome
216,217,380038,Viral conjunctivitis,outcome
216,217,4291005,Viral hepatitis,outcome
216,217,4115367,Wrist joint pain,outcome
216,217,440193,Wristdrop,outcome
218,219,380038,Viral conjunctivitis,outcome
218,219,4291005,Viral hepatitis,outcome
218,219,4115367,Wrist joint pain,outcome
218,219,440193,Wristdrop,outcome
220,221,380038,Viral conjunctivitis,outcome
220,221,4291005,Viral hepatitis,outcome
220,221,4115367,Wrist joint pain,outcome
220,221,440193,Wristdrop,outcome
222,223,380038,Viral conjunctivitis,outcome
222,223,4291005,Viral hepatitis,outcome
222,223,4115367,Wrist joint pain,outcome
222,223,440193,Wristdrop,outcome
224,225,380038,Viral conjunctivitis,outcome
224,225,4291005,Viral hepatitis,outcome
224,225,4115367,Wrist joint pain,outcome
224,225,440193,Wristdrop,outcome
226,227,380038,Viral conjunctivitis,outcome
226,227,4291005,Viral hepatitis,outcome
226,227,4115367,Wrist joint pain,outcome
226,227,440193,Wristdrop,outcome
228,229,380038,Viral conjunctivitis,outcome
228,229,4291005,Viral hepatitis,outcome
228,229,4115367,Wrist joint pain,outcome
228,229,440193,Wristdrop,outcome
230,231,380038,Viral conjunctivitis,outcome
230,231,4291005,Viral hepatitis,outcome
230,231,4115367,Wrist joint pain,outcome
230,231,440193,Wristdrop,outcome
232,233,380038,Viral conjunctivitis,outcome
232,233,4291005,Viral hepatitis,outcome
232,233,4115367,Wrist joint pain,outcome
232,233,440193,Wristdrop,outcome
234,235,380038,Viral conjunctivitis,outcome
234,235,4291005,Viral hepatitis,outcome
234,235,4115367,Wrist joint pain,outcome
234,235,440193,Wristdrop,outcome
236,237,380038,Viral conjunctivitis,outcome
236,237,4291005,Viral hepatitis,outcome
236,237,4115367,Wrist joint pain,outcome
236,237,440193,Wristdrop,outcome
238,239,380038,Viral conjunctivitis,outcome
238,239,4291005,Viral hepatitis,outcome
238,239,4115367,Wrist joint pain,outcome
238,239,440193,Wristdrop,outcome
240,241,380038,Viral conjunctivitis,outcome
240,241,4291005,Viral hepatitis,outcome
240,241,4115367,Wrist joint pain,outcome
240,241,440193,Wristdrop,outcome
242,243,380038,Viral conjunctivitis,outcome
242,243,4291005,Viral hepatitis,outcome
242,243,4115367,Wrist joint pain,outcome
242,243,440193,Wristdrop,outcome
244,245,380038,Viral conjunctivitis,outcome
244,245,4291005,Viral hepatitis,outcome
244,245,4115367,Wrist joint pain,outcome
244,245,440193,Wristdrop,outcome
246,247,380038,Viral conjunctivitis,outcome
246,247,4291005,Viral hepatitis,outcome
246,247,4115367,Wrist joint pain,outcome
246,247,440193,Wristdrop,outcome
248,249,380038,Viral conjunctivitis,outcome
248,249,4291005,Viral hepatitis,outcome
248,249,4115367,Wrist joint pain,outcome
248,249,440193,Wristdrop,outcome
250,251,380038,Viral conjunctivitis,outcome
250,251,4291005,Viral hepatitis,outcome
250,251,4115367,Wrist joint pain,outcome
250,251,440193,Wristdrop,outcome
252,253,380038,Viral conjunctivitis,outcome
252,253,4291005,Viral hepatitis,outcome
252,253,4115367,Wrist joint pain,outcome
252,253,440193,Wristdrop,outcome
254,255,380038,Viral conjunctivitis,outcome
254,255,4291005,Viral hepatitis,outcome
254,255,4115367,Wrist joint pain,outcome
254,255,440193,Wristdrop,outcome
256,257,380038,Viral conjunctivitis,outcome
256,257,4291005,Viral hepatitis,outcome
256,257,4115367,Wrist joint pain,outcome
256,257,440193,Wristdrop,outcome
258,259,380038,Viral conjunctivitis,outcome
258,259,4291005,Viral hepatitis,outcome
258,259,4115367,Wrist joint pain,outcome
258,259,440193,Wristdrop,outcome
262,263,380038,Viral conjunctivitis,outcome
262,263,4291005,Viral hepatitis,outcome
262,263,4115367,Wrist joint pain,outcome
262,263,440193,Wristdrop,outcome
264,265,380038,Viral conjunctivitis,outcome
264,265,4291005,Viral hepatitis,outcome
264,265,4115367,Wrist joint pain,outcome
264,265,440193,Wristdrop,outcome
266,267,380038,Viral conjunctivitis,outcome
266,267,4291005,Viral hepatitis,outcome
266,267,4115367,Wrist joint pain,outcome
266,267,440193,Wristdrop,outcome
268,269,380038,Viral conjunctivitis,outcome
268,269,4291005,Viral hepatitis,outcome
268,269,4115367,Wrist joint pain,outcome
268,269,440193,Wristdrop,outcome
270,271,380038,Viral conjunctivitis,outcome
270,271,4291005,Viral hepatitis,outcome
270,271,4115367,Wrist joint pain,outcome
270,271,440193,Wristdrop,outcome
260,261,380038,Viral conjunctivitis,outcome
260,261,4291005,Viral hepatitis,outcome
260,261,4115367,Wrist joint pain,outcome
260,261,440193,Wristdrop,outcome
272,273,380038,Viral conjunctivitis,outcome
272,273,4291005,Viral hepatitis,outcome
272,273,4115367,Wrist joint pain,outcome
272,273,440193,Wristdrop,outcome
274,275,380038,Viral conjunctivitis,outcome
274,275,4291005,Viral hepatitis,outcome
274,275,4115367,Wrist joint pain,outcome
274,275,440193,Wristdrop,outcome
274,120,380038,Viral conjunctivitis,outcome
274,120,4291005,Viral hepatitis,outcome
274,120,4115367,Wrist joint pain,outcome
274,120,440193,Wristdrop,outcome
276,277,380038,Viral conjunctivitis,outcome
276,277,4291005,Viral hepatitis,outcome
276,277,4115367,Wrist joint pain,outcome
276,277,440193,Wristdrop,outcome
276,120,380038,Viral conjunctivitis,outcome
276,120,4291005,Viral hepatitis,outcome
276,120,4115367,Wrist joint pain,outcome
276,120,440193,Wristdrop,outcome
278,279,380038,Viral conjunctivitis,outcome
278,279,4291005,Viral hepatitis,outcome
278,279,4115367,Wrist joint pain,outcome
278,279,440193,Wristdrop,outcome
278,120,380038,Viral conjunctivitis,outcome
278,120,4291005,Viral hepatitis,outcome
278,120,4115367,Wrist joint pain,outcome
278,120,440193,Wristdrop,outcome
280,281,380038,Viral conjunctivitis,outcome
280,281,4291005,Viral hepatitis,outcome
280,281,4115367,Wrist joint pain,outcome
280,281,440193,Wristdrop,outcome
280,120,380038,Viral conjunctivitis,outcome
280,120,4291005,Viral hepatitis,outcome
280,120,4115367,Wrist joint pain,outcome
280,120,440193,Wristdrop,outcome
282,283,380038,Viral conjunctivitis,outcome
282,283,4291005,Viral hepatitis,outcome
282,283,4115367,Wrist joint pain,outcome
282,283,440193,Wristdrop,outcome
282,120,380038,Viral conjunctivitis,outcome
282,120,4291005,Viral hepatitis,outcome
282,120,4115367,Wrist joint pain,outcome
282,120,440193,Wristdrop,outcome
284,285,380038,Viral conjunctivitis,outcome
284,285,4291005,Viral hepatitis,outcome
284,285,4115367,Wrist joint pain,outcome
284,285,440193,Wristdrop,outcome
284,120,380038,Viral conjunctivitis,outcome
284,120,4291005,Viral hepatitis,outcome
284,120,4115367,Wrist joint pain,outcome
284,120,440193,Wristdrop,outcome
286,287,380038,Viral conjunctivitis,outcome
286,287,4291005,Viral hepatitis,outcome
286,287,4115367,Wrist joint pain,outcome
286,287,440193,Wristdrop,outcome
286,120,380038,Viral conjunctivitis,outcome
286,120,4291005,Viral hepatitis,outcome
286,120,4115367,Wrist joint pain,outcome
286,120,440193,Wristdrop,outcome
288,289,380038,Viral conjunctivitis,outcome
288,289,4291005,Viral hepatitis,outcome
288,289,4115367,Wrist joint pain,outcome
288,289,440193,Wristdrop,outcome
290,291,380038,Viral conjunctivitis,outcome
290,291,4291005,Viral hepatitis,outcome
290,291,4115367,Wrist joint pain,outcome
290,291,440193,Wristdrop,outcome
292,293,380038,Viral conjunctivitis,outcome
292,293,4291005,Viral hepatitis,outcome
292,293,4115367,Wrist joint pain,outcome
292,293,440193,Wristdrop,outcome
294,295,380038,Viral conjunctivitis,outcome
294,295,4291005,Viral hepatitis,outcome
294,295,4115367,Wrist joint pain,outcome
294,295,440193,Wristdrop,outcome
296,297,380038,Viral conjunctivitis,outcome
296,297,4291005,Viral hepatitis,outcome
296,297,4115367,Wrist joint pain,outcome
296,297,440193,Wristdrop,outcome
298,299,380038,Viral conjunctivitis,outcome
298,299,4291005,Viral hepatitis,outcome
298,299,4115367,Wrist joint pain,outcome
298,299,440193,Wristdrop,outcome
300,301,380038,Viral conjunctivitis,outcome
300,301,4291005,Viral hepatitis,outcome
300,301,4115367,Wrist joint pain,outcome
300,301,440193,Wristdrop,outcome
